lp_time,num_ctr,pass
0.001331,201,0
0.001283,201,0
0.001095,201,0
0.001183,201,0
0.001235,201,0
0.001134,201,0
0.001112,201,0
0.001162,201,0
0.001287,201,0
0.001151,201,0
0.001181,201,0
0.001135,201,0
0.001147,201,0
0.001140,201,0
0.001088,201,0
0.001106,201,0
0.001033,201,0
0.001473,201,0
0.001756,201,0
0.001368,201,0
0.001283,201,0
0.001166,201,0
0.001185,201,0
0.001258,201,0
0.001744,201,0
0.001262,201,0
0.001176,201,0
0.001240,201,0
0.001156,201,0
0.001277,201,0
0.001156,201,0
0.003118,201,0
0.001546,201,0
0.001196,201,0
0.001058,201,0
0.001314,201,0
0.001175,201,0
0.001244,201,0
0.001162,201,0
0.001134,201,0
0.001154,201,0
0.001155,201,0
0.001132,201,0
0.001033,201,0
0.001130,201,0
0.001158,201,0
0.001154,201,0
0.001047,201,0
0.001121,201,0
0.001163,201,0
0.001199,201,0
0.001145,201,0
0.000397,201,0
0.000117,201,0
0.000145,201,0
0.000101,201,0
0.000143,201,0
0.000282,201,0
0.000150,201,0
0.000142,201,0
0.000101,201,0
0.000073,201,0
0.000109,201,0
0.000111,201,0
0.000073,201,0
0.000109,201,0
0.000074,201,0
0.000106,201,0
0.000074,201,0
0.000109,201,0
0.000074,201,0
0.000106,201,0
0.000073,201,0
0.000072,201,0
0.000070,201,0
0.000070,201,0
0.000069,201,0
0.000106,201,0
0.000072,201,0
0.000071,201,0
0.000070,201,0
0.000103,201,0
0.000547,202,0
0.000087,202,0
0.000081,202,0
0.000152,202,0
0.000152,202,0
0.000203,202,0
0.000181,202,0
0.000152,202,0
0.000079,202,0
0.000075,202,0
0.000073,202,0
0.000076,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000094,202,0
0.000091,202,0
0.000081,202,0
0.000094,202,0
0.000172,202,0
0.000124,202,0
0.000080,202,0
0.000156,202,0
0.000103,202,0
0.000116,202,0
0.000098,202,0
0.000174,202,0
0.000205,202,0
0.000122,202,0
0.000082,202,0
0.000771,202,0
0.000133,202,0
0.000163,202,0
0.000155,202,0
0.000235,202,0
0.000192,202,0
0.000188,202,0
0.000143,202,0
0.000107,202,0
0.000075,202,0
0.000073,202,0
0.000073,202,0
0.000073,202,0
0.000071,202,0
0.000078,202,0
0.000073,202,0
0.000071,202,0
0.000072,202,0
0.000071,202,0
0.000072,202,0
0.000071,202,0
0.000072,202,0
0.000104,202,0
0.000086,202,0
0.000075,202,0
0.000073,202,0
0.000073,202,0
0.000071,202,0
0.000071,202,0
0.000072,202,0
0.000586,202,0
0.000186,202,0
0.000159,202,0
0.000152,202,0
0.000160,202,0
0.000147,202,0
0.000165,202,0
0.000171,202,0
0.000175,202,0
0.000154,202,0
0.000116,202,0
0.000076,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000086,202,0
0.000080,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000142,202,0
0.000214,202,0
0.000128,202,0
0.000125,202,0
0.000090,202,0
0.000077,202,0
0.000333,202,0
0.000161,202,0
0.000149,202,0
0.000125,202,0
0.000170,202,0
0.000191,202,0
0.000162,202,0
0.000164,202,0
0.000078,202,0
0.000109,202,0
0.000077,202,0
0.000075,202,0
0.000073,202,0
0.000073,202,0
0.000072,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000073,202,0
0.000073,202,0
0.000072,202,0
0.000087,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000330,202,0
0.000133,202,0
0.000691,202,0
0.000159,202,0
0.000159,202,0
0.000158,202,0
0.000188,202,0
0.000229,202,0
0.000154,202,0
0.000150,202,0
0.000080,202,0
0.000108,202,0
0.000133,202,0
0.000093,202,0
0.000094,202,0
0.000079,202,0
0.000080,202,0
0.000092,202,0
0.000083,202,0
0.000081,202,0
0.000077,202,0
0.000076,202,0
0.000078,202,0
0.000074,202,0
0.000152,202,0
0.000108,202,0
0.000076,202,0
0.000074,202,0
0.000073,202,0
0.000073,202,0
0.000115,202,0
0.000074,202,0
0.000598,202,0
0.000110,202,0
0.000192,202,0
0.000157,202,0
0.000187,202,0
0.000212,202,0
0.000083,202,0
0.000119,202,0
0.000086,202,0
0.000113,202,0
0.000074,202,0
0.000081,202,0
0.000078,202,0
0.000076,202,0
0.000075,202,0
0.000076,202,0
0.000074,202,0
0.000075,202,0
0.000075,202,0
0.000074,202,0
0.000075,202,0
0.000073,202,0
0.000077,202,0
0.000074,202,0
0.000109,202,0
0.000075,202,0
0.000074,202,0
0.000076,202,0
0.000075,202,0
0.000154,202,0
0.000564,202,0
0.000160,202,0
0.000171,202,0
0.000151,202,0
0.000138,202,0
0.000146,202,0
0.000140,202,0
0.000159,202,0
0.000154,202,0
0.000191,202,0
0.000144,202,0
0.000158,202,0
0.000105,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000071,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000070,202,0
0.000070,202,0
0.000071,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000310,202,0
0.000152,202,0
0.000140,202,0
0.000153,202,0
0.000169,202,0
0.000204,202,0
0.000209,202,0
0.000149,202,0
0.000104,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000071,202,0
0.000072,202,0
0.000141,202,0
0.000103,202,0
0.000073,202,0
0.000071,202,0
0.000071,202,0
0.000070,202,0
0.000110,202,0
0.000073,202,0
0.000088,202,0
0.000077,202,0
0.000647,202,0
0.000087,202,0
0.000156,202,0
0.000151,202,0
0.000160,202,0
0.000213,202,0
0.000127,202,0
0.000154,202,0
0.000113,202,0
0.000075,202,0
0.000074,202,0
0.000073,202,0
0.000074,202,0
0.000072,202,0
0.000072,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000146,202,0
0.000110,202,0
0.000082,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000071,202,0
0.000112,202,0
0.000112,202,0
0.000072,202,0
0.000071,202,0
0.000527,202,0
0.000159,202,0
0.000145,202,0
0.000148,202,0
0.000160,202,0
0.000207,202,0
0.000155,202,0
0.000113,202,0
0.000075,202,0
0.000074,202,0
0.000072,202,0
0.000073,202,0
0.000071,202,0
0.000072,202,0
0.000071,202,0
0.000076,202,0
0.000113,202,0
0.000083,202,0
0.000147,202,0
0.000108,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000071,202,0
0.000109,202,0
0.000073,202,0
0.000071,202,0
0.000071,202,0
0.000106,202,0
0.000548,202,0
0.000156,202,0
0.000147,202,0
0.000125,202,0
0.000183,202,0
0.000183,202,0
0.000149,202,0
0.000141,202,0
0.000075,202,0
0.000145,202,0
0.000175,202,0
0.000085,202,0
0.000075,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000146,202,0
0.000104,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000113,202,0
0.000073,202,0
0.000070,202,0
0.000072,202,0
0.000106,202,0
0.000589,202,0
0.000155,202,0
0.000156,202,0
0.000169,202,0
0.000166,202,0
0.000189,202,0
0.000143,202,0
0.000079,202,0
0.000077,202,0
0.000146,202,0
0.000106,202,0
0.000076,202,0
0.000075,202,0
0.000075,202,0
0.000075,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000070,202,0
0.000071,202,0
0.000140,202,0
0.000102,202,0
0.000072,202,0
0.000073,202,0
0.000072,202,0
0.000107,202,0
0.000073,202,0
0.000071,202,0
0.000073,202,0
0.000576,202,0
0.000153,202,0
0.000140,202,0
0.000151,202,0
0.000156,202,0
0.000220,202,0
0.000140,202,0
0.000114,202,0
0.000075,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000070,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000070,202,0
0.000071,202,0
0.000152,202,0
0.000105,202,0
0.000074,202,0
0.000072,202,0
0.000072,202,0
0.000116,202,0
0.000098,202,0
0.000117,202,0
0.000074,202,0
0.000072,202,0
0.000581,202,0
0.000082,202,0
0.000149,202,0
0.000143,202,0
0.000219,202,0
0.000222,202,0
0.000118,202,0
0.000149,202,0
0.000105,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000086,202,0
0.000077,202,0
0.000075,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000070,202,0
0.000107,202,0
0.000086,202,0
0.000076,202,0
0.000074,202,0
0.000081,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000148,202,0
0.000127,202,0
0.000087,202,0
0.000598,202,0
0.000150,202,0
0.000077,202,0
0.000148,202,0
0.000158,202,0
0.000228,202,0
0.000110,202,0
0.000130,202,0
0.000078,202,0
0.000075,202,0
0.000074,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000071,202,0
0.000088,202,0
0.000093,202,0
0.000080,202,0
0.000095,202,0
0.000076,202,0
0.000075,202,0
0.000077,202,0
0.000074,202,0
0.000162,202,0
0.000109,202,0
0.000098,202,0
0.000079,202,0
0.000078,202,0
0.000075,202,0
0.000076,202,0
0.000602,202,0
0.000148,202,0
0.000191,202,0
0.000099,202,0
0.000165,202,0
0.000141,202,0
0.000153,202,0
0.000146,202,0
0.000177,202,0
0.000211,202,0
0.000229,202,0
0.000151,202,0
0.000148,202,0
0.000104,202,0
0.000074,202,0
0.000072,202,0
0.000152,202,0
0.000115,202,0
0.000081,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000071,202,0
0.000107,202,0
0.000118,202,0
0.000109,202,0
0.000087,202,0
0.000092,202,0
0.000146,202,0
0.000342,202,0
0.000195,202,0
0.000276,202,0
0.000187,202,0
0.000167,202,0
0.000573,202,0
0.000164,202,0
0.000153,202,0
0.000238,202,0
0.000108,202,0
0.000081,202,0
0.000073,202,0
0.000091,202,0
0.000080,202,0
0.000089,202,0
0.000171,202,0
0.000103,202,0
0.000083,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000100,202,0
0.000114,202,0
0.000078,202,0
0.000093,202,0
0.000081,202,0
0.000073,202,0
0.000074,202,0
0.000573,202,0
0.000089,202,0
0.000211,202,0
0.000159,202,0
0.000164,202,0
0.000324,202,0
0.000129,202,0
0.000147,202,0
0.000111,202,0
0.000112,202,0
0.000084,202,0
0.000076,202,0
0.000074,202,0
0.000073,202,0
0.000073,202,0
0.000071,202,0
0.000099,202,0
0.000125,202,0
0.000086,202,0
0.000075,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000076,202,0
0.000112,202,0
0.000086,202,0
0.000073,202,0
0.000074,202,0
0.000078,202,0
0.000073,202,0
0.000576,202,0
0.000125,202,0
0.000169,202,0
0.000181,202,0
0.000177,202,0
0.000192,202,0
0.000108,202,0
0.000164,202,0
0.000139,202,0
0.000111,202,0
0.000085,202,0
0.000076,202,0
0.000073,202,0
0.000073,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000086,202,0
0.000076,202,0
0.000073,202,0
0.000073,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000121,202,0
0.000079,202,0
0.000074,202,0
0.000074,202,0
0.000072,202,0
0.000570,202,0
0.000156,202,0
0.000155,202,0
0.000166,202,0
0.000158,202,0
0.000198,202,0
0.000149,202,0
0.000146,202,0
0.000135,202,0
0.000075,202,0
0.000073,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000071,202,0
0.000069,202,0
0.000071,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000069,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000070,202,0
0.000071,202,0
0.000069,202,0
0.000575,202,0
0.000145,202,0
0.000147,202,0
0.000139,202,0
0.000163,202,0
0.000196,202,0
0.000126,202,0
0.000146,202,0
0.000104,202,0
0.000075,202,0
0.000073,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000071,202,0
0.000072,202,0
0.000071,202,0
0.000076,202,0
0.000124,202,0
0.000159,202,0
0.000107,202,0
0.000076,202,0
0.000074,202,0
0.000072,202,0
0.000072,202,0
0.000106,202,0
0.000134,202,0
0.000078,202,0
0.000075,202,0
0.000072,202,0
0.000574,202,0
0.000158,202,0
0.000140,202,0
0.000153,202,0
0.000153,202,0
0.000226,202,0
0.000151,202,0
0.000151,202,0
0.000105,202,0
0.000074,202,0
0.000072,202,0
0.000071,202,0
0.000114,202,0
0.000101,202,0
0.000075,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000073,202,0
0.000153,202,0
0.000157,202,0
0.000081,202,0
0.000078,202,0
0.000074,202,0
0.000073,202,0
0.000118,202,0
0.000075,202,0
0.000072,202,0
0.000076,202,0
0.000128,202,0
0.000710,202,0
0.000170,202,0
0.000159,202,0
0.000172,202,0
0.000160,202,0
0.000175,202,0
0.000106,202,0
0.000198,202,0
0.000118,202,0
0.000148,202,0
0.000104,202,0
0.000074,202,0
0.000072,202,0
0.000074,202,0
0.000072,202,0
0.000109,202,0
0.000158,202,0
0.000164,202,0
0.000120,202,0
0.000089,202,0
0.000096,202,0
0.000104,202,0
0.000105,202,0
0.000094,202,0
0.000090,202,0
0.000090,202,0
0.000109,202,0
0.000114,202,0
0.000091,202,0
0.000081,202,0
0.000689,202,0
0.000205,202,0
0.000179,202,0
0.000309,202,0
0.000265,202,0
0.000254,202,0
0.000275,202,0
0.000209,202,0
0.000184,202,0
0.000146,202,0
0.000096,202,0
0.000129,202,0
0.000112,202,0
0.000099,202,0
0.000088,202,0
0.000170,202,0
0.000104,202,0
0.000104,202,0
0.000128,202,0
0.000101,202,0
0.000097,202,0
0.000147,202,0
0.000099,202,0
0.000160,202,0
0.000151,202,0
0.000149,202,0
0.000173,202,0
0.000175,202,0
0.000194,202,0
0.000108,202,0
0.000470,202,0
0.000278,202,0
0.000197,202,0
0.000237,202,0
0.000231,202,0
0.000581,202,0
0.000138,202,0
0.000213,202,0
0.000141,202,0
0.000100,202,0
0.000100,202,0
0.000092,202,0
0.000084,202,0
0.000091,202,0
0.000084,202,0
0.000084,202,0
0.000082,202,0
0.000079,202,0
0.000086,202,0
0.000091,202,0
0.000098,202,0
0.000117,202,0
0.000194,202,0
0.000097,202,0
0.000170,202,0
0.000130,202,0
0.000099,202,0
0.000098,202,0
0.000089,202,0
0.000094,202,0
0.000926,202,0
0.000104,202,0
0.000313,202,0
0.000215,202,0
0.000180,202,0
0.000180,202,0
0.000207,202,0
0.000259,202,0
0.000238,202,0
0.000352,202,0
0.000078,202,0
0.000075,202,0
0.000075,202,0
0.000073,202,0
0.000073,202,0
0.000072,202,0
0.000072,202,0
0.000235,202,0
0.000106,202,0
0.000127,202,0
0.000087,202,0
0.000148,202,0
0.000080,202,0
0.000093,202,0
0.000083,202,0
0.000074,202,0
0.000073,202,0
0.000089,202,0
0.000071,202,0
0.000071,202,0
0.000431,202,0
0.000140,202,0
0.000163,202,0
0.000154,202,0
0.000244,202,0
0.000165,202,0
0.000077,202,0
0.000199,202,0
0.000195,202,0
0.000085,202,0
0.000076,202,0
0.000073,202,0
0.000092,202,0
0.000080,202,0
0.000094,202,0
0.000084,202,0
0.000106,202,0
0.000073,202,0
0.000073,202,0
0.000071,202,0
0.000114,202,0
0.000071,202,0
0.000108,202,0
0.000072,202,0
0.000071,202,0
0.000072,202,0
0.000072,202,0
0.000072,202,0
0.000106,202,0
0.000078,202,0
0.000733,202,0
0.000214,202,0
0.000162,202,0
0.000183,202,0
0.000177,202,0
0.000214,202,0
0.000184,202,0
0.000174,202,0
0.000132,202,0
0.000131,202,0
0.000085,202,0
0.000076,202,0
0.000074,202,0
0.000073,202,0
0.000072,202,0
0.000071,202,0
0.000072,202,0
0.000145,202,0
0.000077,202,0
0.000074,202,0
0.000073,202,0
0.000076,202,0
0.000087,202,0
0.000079,202,0
0.000082,202,0
0.000080,202,0
0.000087,202,0
0.000078,202,0
0.000155,202,0
0.000074,202,0
0.000571,202,0
0.000328,202,0
0.000183,202,0
0.000180,202,0
0.000187,202,0
0.000340,202,0
0.000128,202,0
0.000079,202,0
0.000074,202,0
0.000147,202,0
0.000108,202,0
0.000074,202,0
0.000085,202,0
0.000075,202,0
0.000074,202,0
0.000074,202,0
0.000071,202,0
0.000077,202,0
0.000120,202,0
0.000081,202,0
0.000122,202,0
0.000079,202,0
0.000085,202,0
0.000128,202,0
0.000083,202,0
0.000123,202,0
0.000078,202,0
0.000114,202,0
0.000077,202,0
0.000084,202,0
0.000604,202,0
0.000166,202,0
0.000152,202,0
0.000189,202,0
